date,dxy,vix,us10y
2022-07-01,105.13999938964844,26.700000762939453,2.8889999389648438
2022-07-05,106.5,27.540000915527344,2.809000015258789
2022-07-06,107.0999984741211,26.729999542236328,2.9130001068115234
2022-07-07,107.12999725341797,26.079999923706055,3.007999897003174
2022-07-08,107.01000213623047,24.639999389648438,3.1010000705718994
2022-07-11,108.0199966430664,26.170000076293945,2.990999937057495
2022-07-12,108.06999969482422,27.290000915527344,2.9579999446868896
2022-07-13,107.95999908447266,26.81999969482422,2.9040000438690186
2022-07-14,108.54000091552734,26.399999618530273,2.9600000381469727
2022-07-15,108.05999755859375,24.229999542236328,2.930000066757202
2022-07-18,107.37000274658203,25.299999237060547,2.9600000381469727
2022-07-19,106.68000030517578,24.5,3.0190000534057617
2022-07-20,107.08000183105469,23.8799991607666,3.0360000133514404
2022-07-21,106.91000366210938,23.110000610351562,2.9100000858306885
2022-07-22,106.7300033569336,23.030000686645508,2.7829999923706055
2022-07-25,106.4800033569336,23.360000610351562,2.819999933242798
2022-07-26,107.19000244140625,24.690000534057617,2.7869999408721924
2022-07-27,106.44999694824219,23.239999771118164,2.7339999675750732
2022-07-28,106.3499984741211,22.329999923706055,2.680999994277954
2022-07-29,105.9000015258789,21.329999923706055,2.6419999599456787
2022-08-01,105.44999694824219,22.84000015258789,2.6059999465942383
2022-08-02,106.23999786376953,23.93000030517578,2.740999937057495
2022-08-03,106.51000213623047,21.950000762939453,2.747999906539917
2022-08-04,105.69000244140625,21.440000534057617,2.6760001182556152
2022-08-05,106.62000274658203,21.149999618530273,2.8399999141693115
2022-08-08,106.44000244140625,21.290000915527344,2.765000104904175
2022-08-09,106.37000274658203,21.770000457763672,2.796999931335449
2022-08-10,105.19999694824219,19.739999771118164,2.7860000133514404
2022-08-11,105.08999633789062,20.200000762939453,2.888000011444092
2022-08-12,105.62999725341797,19.530000686645508,2.8489999771118164
2022-08-15,106.55000305175781,19.950000762939453,2.7909998893737793
2022-08-16,106.5,19.690000534057617,2.8239998817443848
2022-08-17,106.56999969482422,19.899999618530273,2.8929998874664307
2022-08-18,107.4800033569336,19.559999465942383,2.880000114440918
2022-08-19,108.16999816894531,20.600000381469727,2.989000082015991
2022-08-22,109.05000305175781,23.799999237060547,3.0369999408721924
2022-08-23,108.62000274658203,24.110000610351562,3.053999900817871
2022-08-24,108.68000030517578,22.81999969482422,3.1059999465942383
