feature,group,mean_across_inst,std_across_inst,cl1s_mean,ho1s_mean,rb1s_mean,ng1s_mean
ret_1d,A_returns_momentum,0.0007111086288915073,0.000429099807710138,0.000525994444501467,0.0011408713377327627,0.00097832912500542,0.00019923960832637976
ret_5d,A_returns_momentum,0.003989014698751982,0.0019951256575078628,0.002824573455883063,0.006089934312460538,0.00521389344585398,0.0018276575808103491
ret_10d,A_returns_momentum,0.008283877897735678,0.003959377156765598,0.005711186179315444,0.012668671124281789,0.010503766374774563,0.004251887912570914
ret_20d,A_returns_momentum,0.018562471755421348,0.007017892690985564,0.013040514899162615,0.02614426525203128,0.022901696282408585,0.012163410588082915
ret_60d,A_returns_momentum,0.04959469163244472,0.018954576997241342,0.03735461136862781,0.06972294118820856,0.061331014586404,0.02997019938653851
ret_20d_zscore,A_returns_momentum,-0.014937493926481495,0.10614174216666128,-0.11711923266382317,0.027441688540372055,-0.08446692680230872,0.11439449521983384
mom_12_1,A_returns_momentum,0.034587848413925495,0.08481027173576529,0.02857334929533211,0.06848783274195779,0.12065551350738447,-0.0793653018889724
roc_10d,A_returns_momentum,0.015949311952091445,0.0038300829126910636,0.016956661827347164,0.01745101368094682,0.019030168112711906,0.010359404187359884
mom_3m_minus_1m,A_returns_momentum,0.03180650404575719,0.012737547282557696,0.025376665703173384,0.044876933438874125,0.03972248152233051,0.017249935518650717
vol_cc_20d,B_volatility,0.03133964726625919,0.005013431070910054,0.033089611846083056,0.025711145004312746,0.029208318344761373,0.03734951386987957
vol_parkinson_20d,B_volatility,0.031354369232043475,0.004198135897327433,0.034420601773973644,0.026153885156979747,0.029761729631349133,0.03508126036587135
vol_garman_klass_20d,B_volatility,0.031873013303121825,0.0043725554187468004,0.0353448673437834,0.026448491406512877,0.030206237461736417,0.0354924570004546
vol_rogers_satchell_20d,B_volatility,0.03201498731614172,0.004332328894666079,0.03575559653983058,0.026602236259789105,0.030440751152658752,0.03526136531228846
vol_yang_zhang_20d,B_volatility,0.03317295743111494,0.004780135617693858,0.03677533766858131,0.02729207026828965,0.03127977660192502,0.03734464518566376
vol_of_vol_60d,B_volatility,0.00877647741275493,0.0040377119990893,0.014464254082551867,0.0067352833617422125,0.008647779795901462,0.005258592410824179
vol_yz_zscore_252d,B_volatility,0.4347699802474988,0.04215114769364259,0.4159980013911687,0.4636947611603084,0.3844741811702013,0.4749129772683167
hl_range_close,B_volatility,0.04780592033918641,0.006503260112914128,0.05016424258061351,0.040046438426269995,0.045683655058253995,0.05532934529160813
