ticker,feature,group,n_valid,pct_nan,mean,std,min,p25,p50,p75,max
cl1s,ret_1d,A_returns_momentum,8170,0.012238404112108192,5.021906349282162e-05,0.025313667296506307,-0.5685888685284688,-0.011695151739541831,0.000710101625472026,0.012175019498079864,0.2239400470959494
cl1s,ret_5d,A_returns_momentum,8166,0.061192020560518756,0.0002680850632641891,0.05458485637660864,-0.8232244243159712,-0.02647638147724296,0.003414452400520851,0.029846602573599612,0.6882730855169219
cl1s,ret_10d,A_returns_momentum,8161,0.12238404112103751,0.0005404252306063225,0.07720017818885008,-1.0831759573848718,-0.03728696787672803,0.005579748908519644,0.044153045107793165,0.7527035629818071
cl1s,ret_20d,A_returns_momentum,8151,0.24476808224207502,0.0011601160484414816,0.1111005314040014,-0.9730323776282777,-0.05665435440947442,0.009687170331183381,0.06757285057063322,1.0007661621784616
cl1s,ret_60d,A_returns_momentum,8111,0.7343042467262251,0.0031017387795837232,0.20880140288795146,-1.8295589027993853,-0.09334738266071296,0.025259791070459947,0.11772893041220511,1.2362914228907476
cl1s,ret_20d_zscore,A_returns_momentum,7900,3.316607514380121,-0.036355633344128245,1.0921336601187392,-7.040700488383862,-0.6852403878986874,0.07261147623276656,0.6983951939786335,4.5052740990908315
cl1s,mom_12_1,A_returns_momentum,7919,3.084077836250154,0.003170702884978186,0.40690506270164906,-1.9886137212399826,-0.19755216529632436,0.020999841189340174,0.27757805372876376,1.6121607455916347
cl1s,roc_10d,A_returns_momentum,8161,0.12238404112103751,0.0034529438588668236,0.07586108616345984,-0.6614813043843216,-0.03660036906952113,0.0055953447008365575,0.04514229656442259,1.1227312033112828
cl1s,mom_3m_minus_1m,A_returns_momentum,8108,0.7710194590625385,0.0018463407174005774,0.17121896546051515,-1.8191652789406108,-0.07440500857316168,0.01926027873493852,0.0977252629886074,1.2138911535502939
cl1s,vol_cc_20d,B_volatility,8151,0.24476808224207502,0.02126597339728338,0.013762300725666083,0.005657998910969331,0.014495708953735618,0.018577202849624688,0.023646019852045126,0.19148447526857246
cl1s,vol_parkinson_20d,B_volatility,8152,0.23252967812996683,0.020328096384441018,0.013074854756953736,0.005281090956338952,0.014886769314807782,0.01845234702556086,0.022713865961237416,0.21440247896315195
cl1s,vol_garman_klass_20d,B_volatility,8152,0.23252967812996683,0.020407155916026185,0.01346133475327348,0.005366676989481633,0.015092143618670891,0.01853388044749673,0.022750181233113034,0.22530874610343352
cl1s,vol_rogers_satchell_20d,B_volatility,8152,0.23252967812996683,0.02030693600438457,0.013785118981675415,0.005272156077499282,0.014972893464282355,0.018405012156687467,0.022667569457606354,0.23453171029568545
cl1s,vol_yang_zhang_20d,B_volatility,8151,0.24476808224207502,0.021359335832044163,0.014556572721710547,0.0060473957190001594,0.015439335847820972,0.019010271617900972,0.023378178090824306,0.23319691193715172
cl1s,vol_of_vol_60d,B_volatility,8092,0.966833924856203,0.003950774763666394,0.007435686660339994,0.000384801672511932,0.0014517983888223587,0.0023886949865305337,0.004119942431619903,0.08459651747707779
cl1s,vol_yz_zscore_252d,B_volatility,7900,3.316607514380121,0.012116336838755348,1.3323413811490483,-2.7108459293966245,-0.9210868928821939,-0.3062761133120073,0.5346846221914787,7.149941072726084
cl1s,hl_range_close,B_volatility,8152,0.23252967812996683,0.03140875106321955,0.01754913608428728,0.008132646531448566,0.023356722091389892,0.028778157056061113,0.035273404196026314,0.2643221830446895
cl1s,amihud_20d,C_microstructure,7744,5.225798555868311,1.0613952305181568e-08,2.130769375955446e-08,1.661798289186469e-10,5.409906757670078e-10,3.868201269764375e-09,1.5218542436042772e-08,3.336293957883884e-07
cl1s,roll_spread_20d,C_microstructure,8150,0.2570064863541832,0.43735714083199084,0.7818288553525333,0.0,0.0,0.02466951730061952,0.5659488623903862,6.3146443076031975
cl1s,volume_zscore_20d,C_microstructure,8152,0.23252967812996683,0.01947681877712529,1.0259774399465444,-3.480979141486406,-0.6684328204295169,-0.027295959888292493,0.6530234811529977,4.226681747773319
cl1s,dollar_volume_log,C_microstructure,8131,0.48953616448415005,15.382938364556,1.6618844485849305,6.569130727687007,13.761698837340067,15.206728737215627,17.01211944167637,18.297034236322514
cl1s,kyle_lambda_20d,C_microstructure,7744,5.225798555868311,1.3848847400255049e-05,0.00012139339630582147,-0.001029400637572143,-2.9481295464093124e-05,2.48233013609492e-05,6.377956329464837e-05,0.0009176421290304674
cl1s,rsi_14,D_meanrev_trend,8169,0.024476808224205282,51.05162693430023,12.649107302918202,13.768360419385644,42.239817518102896,51.54165286079724,60.388179942345566,97.43833017077799
cl1s,bb_position_20_2,D_meanrev_trend,8152,0.23252967812996683,0.05081172028217169,0.6582910005827076,-1.787863760897773,-0.5096921101908943,0.09511994666957352,0.6161690687126773,1.8131815965449318
cl1s,macd_signal,D_meanrev_trend,8171,0.0,0.011056012603383283,1.6902928301474074,-14.16060633231707,-0.4466889145761412,0.09206975118730507,0.6201459957689499,7.1338293196949465
cl1s,macd_histogram,D_meanrev_trend,8171,0.0,0.00012553572311828172,0.4313733846460482,-3.4533669615071227,-0.145202574962455,0.010861005970458755,0.1640782489973132,2.5917436275557737
cl1s,adx_14,D_meanrev_trend,8170,0.012238404112108192,25.469607805554098,10.36194299485358,6.757138809089733,17.76774557205376,23.80864667709507,30.98638603354858,100.0
cl1s,williams_r_14,D_meanrev_trend,8158,0.159099253457351,-46.95486962205223,31.39545767185076,-100.0,-76.38570324901542,-44.63609484931888,-17.068057186383196,-0.0
cl1s,distance_from_200d_ma,D_meanrev_trend,7972,2.435442418308653,0.16290951699026615,2.979965901234394,-12.888376596721542,-1.8967485377396875,0.40468014800702706,2.423680748236209,9.144079390193868
cl1s,cci_20,D_meanrev_trend,8133,0.46505935625994477,5.578151645559264,85.19584971675471,-416.36554300661436,-56.48742521784415,10.792253376423607,68.8154868684933,364.1881304378739
cl1s,dominant_cycle_period,F_spectral_fractal,8112,0.722065842614128,16.301924181177142,4.075766114608201,4.285714285714286,12.0,15.0,20.0,20.0
cl1s,spectral_entropy,F_spectral_fractal,8112,0.722065842614128,0.8822754809084419,0.02659873972553159,0.7681621907335039,0.8652953907582072,0.884078918368066,0.9009243572089425,0.9553516484085403
cl1s,hurst_90d,F_spectral_fractal,8082,1.0892179659772405,0.6081910662291474,0.10184916200069401,0.2484459984432011,0.5398357665623477,0.606097131946354,0.6778471755264077,0.9490299188355998
cl1s,dfa_alpha_90d,F_spectral_fractal,8082,1.0892179659772405,0.6463371066704675,0.10504211033655853,0.2503802665369548,0.5763369405518939,0.6449478217114255,0.7132815600040661,1.0455450022313209
cl1s,approx_entropy_20d,F_spectral_fractal,8152,0.23252967812996683,0.0737550988639316,0.09035579117276976,-0.05406722127027619,0.018895639841296497,0.08780500866889396,0.12833993150865686,0.5874573670258947
cl1s,primary_signal,H_signal_interaction,628,92.31428221759883,0.5573248407643312,0.6016143960636341,-1.0,0.0,1.0,1.0,1.0
cl1s,signal_changed,H_signal_interaction,628,92.31428221759883,0.1178343949044586,0.3226689307617014,0.0,0.0,0.0,0.0,1.0
cl1s,signal_persistence,H_signal_interaction,628,92.31428221759883,13.375796178343949,15.652899314211622,0.0,2.0,7.0,19.0,70.0
cl1s,signal_trend_concord,H_signal_interaction,628,92.31428221759883,0.10509554140127389,0.8136237234895904,-1.0,-1.0,-0.0,1.0,1.0
cl1s,signal_density_20d,H_signal_interaction,609,92.5468118957288,0.6736453201970444,0.28625160132039623,0.0,0.45,0.7,0.95,1.0
cl1s,day_of_year_sin,I_seasonality,8171,0.0,0.0076267109105576224,0.7112807978969204,-0.9999994220246925,-0.7142921172691032,0.03439806061360801,0.7187918772884232,0.9999855506507186
cl1s,day_of_year_cos,I_seasonality,8171,0.0,-0.008318088980311672,0.7029044406261201,-0.9999791929590823,-0.7090032027098047,-0.011826390691832589,0.6874571793269664,0.9999907524084426
cl1s,heating_season,I_seasonality,8171,0.0,0.2456274024447858,0.33221371786100745,0.0,0.0,0.0,0.3763440860215054,0.9892473118279573
cl1s,driving_season_progress,I_seasonality,8171,0.0,0.16914790440358835,0.3145855502494073,0.0,0.0,0.0,0.31182795698924737,0.978494623655914
cl1s,hurricane_season_indicator,I_seasonality,8171,0.0,0.21061109115242338,0.3270690825082,0.0,0.0,0.0,0.31182795698924737,0.989247311827957
cl1s,quarter_progress,I_seasonality,8171,0.0,0.5010339889164562,0.2903394444872006,0.0,0.25274725274725274,0.4945054945054945,0.7555555555555555,1.0
cl1s,skew_20d,J_higher_moments_range,8151,0.24476808224207502,-0.126049539675134,0.6692147273488439,-3.3786125073842506,-0.5002294401155178,-0.10664876207393188,0.26308645186633406,3.1022556293335275
cl1s,skew_60d,J_higher_moments_range,8111,0.7343042467262251,-0.18643570410657168,0.6802172811181227,-4.854436169038534,-0.4375958151385611,-0.16117306648950736,0.12414652771833037,2.7558410117800087
cl1s,kurt_20d,J_higher_moments_range,8151,0.24476808224207502,0.46725958296675296,1.6287191281290827,-1.6204824156948305,-0.5228689202297354,0.029906470079231886,0.9067461673502701,13.420990425474116
cl1s,downside_vol_20d,J_higher_moments_range,8151,0.24476808224207502,0.012870280256671,0.011721489243125853,0.0015321283216906357,0.00768889217238119,0.010556469827480989,0.014490213611307576,0.1967814007204625
