feature_1,feature_2,abs_corr,group_1,group_2,same_group,ticker
hmm_p_state0,hmm_p_state1,1.0000000000000007,E_latent_regime,E_latent_regime,True,cl1s
vol_garman_klass_20d,vol_rogers_satchell_20d,0.9994694601913323,B_volatility,B_volatility,True,cl1s
vol_parkinson_20d,vol_garman_klass_20d,0.9990543563634198,B_volatility,B_volatility,True,cl1s
vol_parkinson_20d,vol_yang_zhang_20d,0.997749733300295,B_volatility,B_volatility,True,cl1s
vol_garman_klass_20d,vol_yang_zhang_20d,0.9974025332928033,B_volatility,B_volatility,True,cl1s
vol_parkinson_20d,vol_rogers_satchell_20d,0.9972354224331251,B_volatility,B_volatility,True,cl1s
vol_rogers_satchell_20d,vol_yang_zhang_20d,0.9958599461627331,B_volatility,B_volatility,True,cl1s
vol_parkinson_20d,hl_range_close,0.9899044969466221,B_volatility,B_volatility,True,cl1s
vol_yang_zhang_20d,hl_range_close,0.9872339365477303,B_volatility,B_volatility,True,cl1s
vol_cc_20d,hl_range_close,0.9871204411636662,B_volatility,B_volatility,True,cl1s
vol_garman_klass_20d,hl_range_close,0.9852514633802849,B_volatility,B_volatility,True,cl1s
vol_rogers_satchell_20d,hl_range_close,0.9800991950340079,B_volatility,B_volatility,True,cl1s
vol_cc_20d,vol_yang_zhang_20d,0.9787875593544547,B_volatility,B_volatility,True,cl1s
vol_cc_20d,vol_parkinson_20d,0.9786121443994545,B_volatility,B_volatility,True,cl1s
