date,dxy_ret_5d,dxy_ret_20d,dxy_corr_60d,vix_level,vix_change_5d,us10y_change_5d
2022-07-01,0.009076610729827017,0.028948374342308902,,26.700000762939453,-0.529998779296875,-0.23600006103515625
2022-07-04,0.01147895651726305,0.02601550442229783,,26.700000762939453,-0.25,-0.30500006675720215
2022-07-05,0.018862204102626734,0.04003983086145535,,27.540000915527344,-0.8199996948242188,-0.3970000743865967
2022-07-06,0.018755536564415642,0.04350998792242322,,26.729999542236328,-1.4300003051757812,-0.17999982833862305
2022-07-07,0.023039398985022608,0.03718038008981672,,26.079999923706055,-2.6299991607666016,0.03600001335144043
2022-07-08,0.017629518415644974,0.027090125644052776,,24.639999389648438,-2.0600013732910156,0.21200013160705566
2022-07-11,0.027023574501611414,0.027594381845102767,,26.170000076293945,-0.5300006866455078,0.10199999809265137
2022-07-12,0.014634177341722676,0.023878685895389218,,27.290000915527344,-0.25,0.14899992942810059
2022-07-13,0.007997816463090501,0.026277744983711493,,26.81999969482422,0.09000015258789062,-0.009000062942504883
2022-07-14,0.013075752433564958,0.046291940377798824,,26.399999618530273,0.31999969482421875,-0.04799985885620117
2022-07-15,0.009764297821043044,0.031587517094006756,,24.229999542236328,-0.4099998474121094,-0.17100000381469727
2022-07-18,-0.006035525061202307,0.025181750297727845,,25.299999237060547,-0.8700008392333984,-0.03099989891052246
2022-07-19,-0.012945460316723612,0.021220934967390193,,24.5,-2.7900009155273438,0.06100010871887207
2022-07-20,-0.00818454391753054,0.027264135720264093,,23.8799991607666,-2.940000534057617,0.13199996948242188
2022-07-21,-0.015131383790648378,0.023470399865783698,,23.110000610351562,-3.289999008178711,-0.04999995231628418
2022-07-22,-0.01238429344440739,0.024086133522107644,,23.030000686645508,-1.1999988555908203,-0.14700007438659668
2022-07-25,-0.008323633413299447,0.02414337254437271,,23.360000610351562,-1.9399986267089844,-0.1400001049041748
2022-07-26,0.004769281305385675,0.025320202433011474,,24.690000534057617,0.1900005340576172,-0.23200011253356934
2022-07-27,-0.005900873081001734,0.01266793602897387,,23.239999771118164,-0.6399993896484375,-0.3020000457763672
2022-07-28,-0.005251865981004578,0.01573190164693461,,22.329999923706055,-0.7800006866455078,-0.22900009155273438
2022-07-29,-0.0078070453624130565,0.007202477429867571,,21.329999923706055,-1.7000007629394531,-0.14100003242492676
2022-08-01,-0.009720327628826908,0.0029440883982827515,,22.84000015258789,-0.5200004577636719,-0.21399998664855957
2022-08-02,-0.008902317859332598,-0.002444319528947858,,23.93000030517578,-0.7600002288818359,-0.046000003814697266
2022-08-03,0.0005635348406674012,-0.005524065694774372,,21.950000762939453,-1.289999008178711,0.01399993896484375
2022-08-04,-0.006225223177590777,-0.013532720515678776,,21.440000534057617,-0.8899993896484375,-0.004999876022338867
2022-08-05,0.006775870139053453,-0.00365117084672395,,21.149999618530273,-0.18000030517578125,0.1979999542236328
2022-08-08,0.00934459106195984,-0.014734895041368823,,21.290000915527344,-1.5499992370605469,0.15900015830993652
2022-08-09,0.0012229424640626263,-0.015855554406607908,,21.770000457763672,-2.1599998474121094,0.0559999942779541
2022-08-10,-0.012375626217188795,-0.02589750837505367,,19.739999771118164,-2.210000991821289,0.03800010681152344
2022-08-11,-0.005693213090804505,-0.03230168604004824,,20.200000762939453,-1.239999771118164,0.21199989318847656
2022-08-12,-0.009328741321932732,-0.022744209989699726,,19.530000686645508,-1.6199989318847656,0.009000062942504883
2022-08-15,0.0010329181397690235,-0.007666451840397492,,19.950000762939453,-1.3400001525878906,0.025999784469604492
2022-08-16,0.0012213770648852318,-0.0016887170249990646,,19.690000534057617,-2.0799999237060547,0.026999950408935547
2022-08-17,0.012938772074742033,-0.004774192382781095,,19.899999618530273,0.15999984741210938,0.10699987411499023
2022-08-18,0.022487723950249006,0.005317421700849145,,19.559999465942383,-0.6400012969970703,-0.007999897003173828
2022-08-19,0.023761650881475305,0.013401734336182969,,20.600000381469727,1.0699996948242188,0.1400001049041748
2022-08-22,0.023192133446396923,0.023849315019298878,,23.799999237060547,3.8499984741210938,0.24600005149841309
2022-08-23,0.0197105927433725,0.013252594412987762,,24.110000610351562,4.420000076293945,0.23000001907348633
2022-08-24,0.019605743996922165,0.020732424695142804,,22.81999969482422,2.9200000762939453,0.21300005912780762
2022-08-25,0.009168833325567505,0.019738121007421228,,21.780000686645508,2.220001220703125,0.14599990844726562
2022-08-26,0.00580731575645288,0.027016095455048905,,25.559999465942383,4.959999084472656,0.046000003814697266
2022-08-29,-0.0019276403642569662,0.03164200228386882,,26.209999084472656,2.4099998474121094,0.07299995422363281
2022-08-30,0.0013799523502271427,0.023534864622547502,,26.209999084472656,2.0999984741210938,0.0559999942779541
2022-08-31,0.00018397868594632882,0.02035286854042173,,25.8700008392334,3.0500011444091797,0.026999950408935547
2022-09-01,0.011184579374612369,0.037147923559624374,,25.559999465942383,3.779998779296875,0.2390000820159912
2022-09-02,0.006687110719648004,0.026927336035643457,,25.469999313354492,-0.09000015258789062,0.15799999237060547
2022-09-05,0.006319592922412909,0.02861700414432189,,25.469999313354492,-0.7399997711181641,0.08300018310546875
2022-09-06,0.013152098153254244,0.03546402031173912,,26.90999984741211,0.7000007629394531,0.23000001907348633
2022-09-07,0.010432962067201679,0.043161456824812205,,24.639999389648438,-1.230001449584961,0.13200020790100098
2022-09-08,0.00018228480385307222,0.04302342145428195,,23.610000610351562,-1.9499988555908203,0.026999950408935547
2022-09-09,-0.004850590961591017,0.03140548639598517,,22.790000915527344,-2.6799983978271484,0.12800002098083496
2022-09-12,-0.0110163323306951,0.016567753673857766,,23.8700008392334,-1.5999984741210938,0.16899991035461426
2022-09-13,-0.0035449693244800073,0.03069767392237388,,27.270000457763672,0.3600006103515625,0.0820000171661377
2022-09-14,-0.0016400247482897257,0.028582660001780447,,26.15999984741211,1.5200004577636719,0.14699983596801758
2022-09-15,0.00027339968011741433,0.02080909718415036,,26.270000457763672,2.6599998474121094,0.16700005531311035
2022-09-16,0.006948301211172847,0.014592136725682714,,26.299999237060547,3.509998321533203,0.1269998550415039
2022-09-19,0.012931771304501183,0.0063073915319620255,,25.760000228881836,1.8899993896484375,0.12800002098083496
2022-09-20,0.003635720458386338,0.014622801637387717,,27.15999984741211,-0.1100006103515625,0.1490001678466797
2022-09-21,0.008896978468921901,0.017873894473780183,,27.989999771118164,1.8299999237060547,0.09800004959106445
2022-09-22,0.014564467835388228,0.026204731693971084,,27.350000381469727,1.0799999237060547,0.24899983406066895
2022-09-23,0.030771660773110554,0.03955648174234039,,29.920000076293945,3.6200008392333984,0.24900007247924805
2022-09-26,0.03896133133031743,0.04719636322653642,,32.2599983215332,6.499998092651367,0.3880000114440918
2022-09-27,0.03468452126514787,0.047927370552308446,,32.599998474121094,5.439998626708984,0.39299988746643066
2022-09-28,0.01756002031431869,0.035249936102152546,,30.18000030517578,2.190000534057617,0.19499993324279785
2022-09-29,0.008050146622434973,0.023070298941793688,,31.84000015258789,4.489999771118164,0.03900003433227539
2022-09-30,-0.009498093420032383,0.02337127760266,,31.6200008392334,1.7000007629394531,0.10699987411499023
2022-10-03,-0.020811010001179575,0.020065760302943936,,30.100000381469727,-2.1599979400634766,-0.22699999809265137
2022-10-04,-0.036046376532648416,-0.0012711041335942141,,29.06999969482422,-3.529998779296875,-0.3469998836517334
2022-10-05,-0.013681071722837501,0.011135902312113366,,28.549999237060547,-1.6300010681152344,0.054000139236450195
2022-10-06,8.910192100053393e-05,0.02297711605894115,,30.520000457763672,-1.3199996948242188,0.07899999618530273
2022-10-07,0.006046615325153937,0.034268483889404955,,31.360000610351562,-0.26000022888183594,0.07899999618530273
2022-10-10,0.012361751026674028,0.043443843660313064,,32.45000076293945,2.3500003814697266,0.2369999885559082
2022-10-11,0.02821631512746592,0.03049018031835171,,33.630001068115234,4.560001373291016,0.32199978828430176
2022-10-12,0.02005504183784179,0.03283096889824488,,33.56999969482422,5.020000457763672,0.14299988746643066
2022-10-13,0.000890379124785845,0.02359409550360958,,31.940000534057617,1.4200000762939453,0.12599992752075195
2022-10-14,0.004511037727670697,0.031831220405902805,,32.02000045776367,0.6599998474121094,0.1270003318786621
2022-10-17,-0.009770025957012152,0.02074204639879973,,31.3700008392334,-1.0799999237060547,0.1269998550415039
2022-10-18,-0.009673951412039195,0.01718050844792618,,30.5,-3.1300010681152344,0.05900001525878906
2022-10-19,-0.0030048306595205077,0.020929159769802475,,30.760000228881836,-2.809999465942383,0.22499990463256836
2022-10-20,0.004617275544533506,0.013646903212754857,,29.979999542236328,-1.960000991821289,0.2739999294281006
2022-10-21,-0.011539231750787415,-0.010479672117995165,,29.690000534057617,-2.3299999237060547,0.20299959182739258
2022-10-24,-0.00044639604392759935,-0.018665680975445298,,29.850000381469727,-1.5200004577636719,0.21900033950805664
2022-10-25,-0.010579266105267493,-0.028083278922489185,,28.459999084472656,-2.0400009155273438,0.1099998950958252
2022-10-26,-0.029461502147690055,-0.026092362692206272,,27.280000686645508,-3.479999542236328,-0.1119999885559082
2022-10-27,-0.02049564723970576,-0.014898890649385876,,27.389999389648438,-2.5900001525878906,-0.2889997959136963
2022-10-28,-0.012035388363914379,-0.01301696706187716,,25.75,-3.940000534057617,-0.20299959182739258
2022-10-31,-0.0041159604580327525,-0.0019706314322984753,,25.8799991607666,-3.970001220703125,-0.15700006484985352
2022-11-01,0.004765610853277202,0.012728708463436433,,25.809999465942383,-2.6499996185302734,-0.055999755859375
2022-11-02,0.0149290405378677,0.002517749568498928,,25.860000610351562,-1.4200000762939453,0.04400014877319336
2022-11-03,0.020938524464945374,0.005950531894558964,,25.299999237060547,-2.0900001525878906,0.18700003623962402
2022-11-04,0.0018957269393142795,-0.017167855447716818,,24.549999237060547,-1.2000007629394531,0.14599990844726562
2022-11-07,-0.012722896845255072,-0.027055279304227575,,24.350000381469727,-1.529998779296875,0.13700008392333984
2022-11-08,-0.016825368052723277,-0.03231297471675276,,25.540000915527344,-0.26999855041503906,0.07399988174438477
2022-11-09,-0.007210445091247131,-0.024747737360589994,,26.09000015258789,0.22999954223632812,0.09200000762939453
2022-11-10,-0.0426943853150199,-0.03763423254524678,,23.530000686645508,-1.769998550415039,-0.2950000762939453
2022-11-11,-0.042277294511856134,-0.06395618768724365,,22.520000457763672,-2.029998779296875,-0.3430001735687256
2022-11-14,-0.03192446570924812,-0.04920971905646354,,23.729999542236328,-0.6200008392333984,-0.3490002155303955
2022-11-15,-0.02981427342494225,-0.05245329672965582,,24.540000915527344,-1.0,-0.3269999027252197
2022-11-16,-0.03939082550279682,-0.06113373220386631,,24.110000610351562,-1.9799995422363281,-0.4590001106262207
2022-11-17,-0.01414631903635577,-0.05639782712613606,,23.93000030517578,0.39999961853027344,-0.053999900817871094
2022-11-18,0.006003201463567365,-0.04641375447288887,,23.1200008392334,0.6000003814697266,0.005000114440917969
2022-11-21,0.011002373698389967,-0.037760949314145975,,22.360000610351562,-1.3699989318847656,-0.039999961853027344
2022-11-22,0.007677218535913077,-0.03419681208847525,,21.290000915527344,-3.25,-0.0410001277923584
2022-11-23,-0.001883565707259116,-0.03355579576343537,,20.350000381469727,-3.760000228881836,0.014000177383422852
2022-11-24,-0.005733912387921869,-0.041636092274352166,,20.350000381469727,-3.5799999237060547,-0.0690000057220459
2022-11-25,-0.009112761858984797,-0.04349112796795929,,20.5,-2.6200008392333984,-0.127000093460083
2022-11-28,-0.010814911030787577,-0.0444598998869008,,22.209999084472656,-0.15000152587890625,-0.12199997901916504
2022-11-29,-0.0037376377297153596,-0.04270006067146781,,21.889999389648438,0.5999984741210938,-0.009999990463256836
2022-11-30,-0.0012262877880724332,-0.0497111240893755,,20.579999923706055,0.22999954223632812,-0.003000020980834961
2022-12-01,-0.012807901860353077,-0.07538251859965062,,19.84000015258789,-0.5100002288818359,-0.1770000457763672
2022-12-02,-0.013396200699458127,-0.05878305560673169,,19.059999465942383,-1.4400005340576172,-0.18499994277954102
2022-12-05,-0.013115245610518578,-0.044852248652164306,,20.75,-1.4599990844726562,-0.10400009155273438
2022-12-06,-0.01167619531642039,-0.03755088793516492,,22.170000076293945,0.2800006866455078,-0.2349998950958252
2022-12-07,-0.008054992546001394,-0.050555671544129765,,22.68000030517578,2.1000003814697266,-0.2950000762939453
2022-12-08,0.00038179748561883997,-0.032306335799011876,,22.290000915527344,2.450000762939453,-0.03800010681152344
2022-12-09,0.0024837088243474525,-0.014022052270528107,,22.829999923706055,3.770000457763672,0.06099987030029297
2022-12-12,-0.0015208031017994728,-0.014448586044715661,,25.0,4.25,0.012000083923339844
2022-12-13,-0.01527037149830246,-0.023006986008525132,,22.549999237060547,0.37999916076660156,-0.012000083923339844
2022-12-14,-0.012735384097116054,-0.023900230138448997,,21.139999389648438,-1.5400009155273438,0.09500002861022949
2022-12-15,-0.0020063933572584958,-0.020166410119914602,,22.829999923706055,0.5399990081787109,-0.0409998893737793
